Scenario_ID,Difficulty,Scenario_Description,Question_ID,Question_Text,Character,Innocent_Answer,Guilty_Answer
Easy 1,Easy,"A wallet was stolen from a park bench near the fountain. Witnesses saw 9 people nearby, but no one admits to taking it. The thief left behind a muddy shoeprint and was seen wearing a red cap.",Q1,Where were you sitting in the park?,Lawyer,"By the oak tree, reviewing a client's case.","I was near the fountain, I think. Or maybe the oak tree."
Easy 1,Easy,Same as above,Q1,Where were you sitting in the park?,Delivery Man,"On a bench near the east gate, eating my lunch.","I wasn’t sitting, just passing through."
Easy 1,Easy,Same as above,Q1,Where were you sitting in the park?,Doctor,"On the south side, reading a medical journal.",I don’t recall exactly—maybe near the fountain?
Easy 1,Easy,Same as above,Q1,Where were you sitting in the park?,Bystander,"I was standing by the duck pond, feeding birds.","Uh, I sat on a bench... the one with the broken slat."
Easy 1,Easy,Same as above,Q1,Where were you sitting in the park?,Old Man,On my usual bench by the roses.,"I move around a lot, can’t remember where I was."
Easy 1,Easy,Same as above,Q1,Where were you sitting in the park?,Bartender,I wasn’t sitting—just cutting through the park to work.,"I sat by the fountain. Nice spot, really."
Easy 1,Easy,Same as above,Q1,Where were you sitting in the park?,Electrician,On a bench fixing my toolbox.,I don’t sit in parks. Too busy.
Easy 1,Easy,Same as above,Q1,Where were you sitting in the park?,Taxi Driver,"In my cab parked nearby, waiting for a fare.",I sat... somewhere. Not sure.
Easy 1,Easy,Same as above,Q1,Where were you sitting in the park?,Tutor,"Under the big willow tree, grading papers.",I was by the fountain. Alone.
Easy 1,Easy,Same as above,Q2,Did you see anyone near the fountain around that time?,Lawyer,"Yes, a jogger passed by twice.","No, I wasn’t paying attention."
Easy 1,Easy,Same as above,Q2,Did you see anyone near the fountain around that time?,Delivery Man,Just the ice cream vendor.,No one suspicious. Definitely not.
Easy 1,Easy,Same as above,Q2,Did you see anyone near the fountain around that time?,Doctor,A woman in a red cap fed the pigeons.,"I saw someone, but they left quickly."
Easy 1,Easy,Same as above,Q2,Did you see anyone near the fountain around that time?,Bystander,A kid dropped his toy near the fountain.,Nope. Nothing.
Easy 1,Easy,Same as above,Q2,Did you see anyone near the fountain around that time?,Old Man,The gardener was trimming bushes.,My eyesight’s bad—couldn’t say.
Easy 1,Easy,Same as above,Q2,Did you see anyone near the fountain around that time?,Bartender,A couple arguing loudly.,I wasn’t looking that way.
Easy 1,Easy,Same as above,Q2,Did you see anyone near the fountain around that time?,Electrician,A guy in a red cap loitering.,I didn’t see anything unusual.
Easy 1,Easy,Same as above,Q2,Did you see anyone near the fountain around that time?,Taxi Driver,A tourist taking photos.,"No, and I was watching closely."
Easy 1,Easy,Same as above,Q2,Did you see anyone near the fountain around that time?,Tutor,A student from my class waved at me.,"I saw someone, but they had sunglasses."
Easy 1,Easy,Same as above,Q3,What were you wearing today?,Lawyer,A blue suit and tie.,"A red cap and jeans. Wait—no, I mean..."
Easy 1,Easy,Same as above,Q3,What were you wearing today?,Delivery Man,Company uniform and a hat.,Just normal clothes. Nothing special.
Easy 1,Easy,Same as above,Q3,What were you wearing today?,Doctor,Scrubs and a white coat.,A jacket. Maybe red? I forget.
Easy 1,Easy,Same as above,Q3,What were you wearing today?,Bystander,A green hoodie and sneakers.,Clothes? Why does that matter?
Easy 1,Easy,Same as above,Q3,What were you wearing today?,Old Man,My usual tweed jacket.,Something comfortable. Can’t recall.
Easy 1,Easy,Same as above,Q3,What were you wearing today?,Bartender,Black shirt with the bar logo.,A red cap. I mean—just a shirt.
Easy 1,Easy,Same as above,Q3,What were you wearing today?,Electrician,Work boots and a high-vis vest.,I changed clothes earlier...
Easy 1,Easy,Same as above,Q3,What were you wearing today?,Taxi Driver,A polo shirt and slacks.,My uniform. Definitely not a cap.
Easy 1,Easy,Same as above,Q3,What were you wearing today?,Tutor,A sweater and glasses.,A red cap. It was sunny.
Easy 1,Easy,Same as above,Q4,Can anyone confirm your alibi?,Lawyer,My client called me at that time.,I was alone. No one saw me.
Easy 1,Easy,Same as above,Q4,Can anyone confirm your alibi?,Delivery Man,The security guard scanned my package.,No witnesses. I work solo.
Easy 1,Easy,Same as above,Q4,Can anyone confirm your alibi?,Doctor,The nurse texted me about a patient.,I don’t need an alibi.
Easy 1,Easy,Same as above,Q4,Can anyone confirm your alibi?,Bystander,My friend was with me—ask her.,I don’t remember who was around.
Easy 1,Easy,Same as above,Q4,Can anyone confirm your alibi?,Old Man,The park ranger nods at me daily.,"At my age, who notices me?"
Easy 1,Easy,Same as above,Q4,Can anyone confirm your alibi?,Bartender,My shift manager clocked me in.,I wasn’t on the clock yet.
Easy 1,Easy,Same as above,Q4,Can anyone confirm your alibi?,Electrician,My coworker saw me leave.,I don’t keep track.
Easy 1,Easy,Same as above,Q4,Can anyone confirm your alibi?,Taxi Driver,My GPS logs all my stops.,No one was in the cab.
Easy 1,Easy,Same as above,Q4,Can anyone confirm your alibi?,Tutor,My student can vouch for me.,I didn’t talk to anyone.
Easy 1,Easy,Same as above,Q5,Do you have any mud on your shoes?,Lawyer,"No, I polished them this morning.",Mud? Uh... let me check.
Easy 1,Easy,Same as above,Q5,Do you have any mud on your shoes?,Delivery Man,Just a bit from the grass.,I cleaned them right after.
Easy 1,Easy,Same as above,Q5,Do you have any mud on your shoes?,Doctor,"No, I avoid muddy areas.",Maybe a little. It rained.
Easy 1,Easy,Same as above,Q5,Do you have any mud on your shoes?,Bystander,"Nope, I wear waterproof boots.",I might’ve stepped in something.
Easy 1,Easy,Same as above,Q5,Do you have any mud on your shoes?,Old Man,My shoes are spotless.,Mud? Where? Show me.
Easy 1,Easy,Same as above,Q5,Do you have any mud on your shoes?,Bartender,"No, I walk on paved paths.",I wiped them off already.
Easy 1,Easy,Same as above,Q5,Do you have any mud on your shoes?,Electrician,Mud? I work in it daily.,Not that I noticed.
Easy 1,Easy,Same as above,Q5,Do you have any mud on your shoes?,Taxi Driver,"No, I drive everywhere.",I walked through a puddle.
Easy 1,Easy,Same as above,Q5,Do you have any mud on your shoes?,Tutor,"No, I took the sidewalk.",I brushed it off already.
Easy 1,Easy,Same as above,Q6,Have you ever been accused of theft before?,Lawyer,"No, and I’d sue anyone who did.",That’s irrelevant to this.
Easy 1,Easy,Same as above,Q6,Have you ever been accused of theft before?,Delivery Man,Never. My record’s clean.,A misunderstanding years ago.
Easy 1,Easy,Same as above,Q6,Have you ever been accused of theft before?,Doctor,Absolutely not.,I was cleared of all charges.
Easy 1,Easy,Same as above,Q6,Have you ever been accused of theft before?,Bystander,"No, I hate thieves.",Why are you asking that?
Easy 1,Easy,Same as above,Q6,Have you ever been accused of theft before?,Old Man,In 70 years? Never.,That was a long time ago.
Easy 1,Easy,Same as above,Q6,Have you ever been accused of theft before?,Bartender,"No, I handle cash honestly.",A false accusation once.
Easy 1,Easy,Same as above,Q6,Have you ever been accused of theft before?,Electrician,"Nope. I fix things, not steal.",It was a prank.
Easy 1,Easy,Same as above,Q6,Have you ever been accused of theft before?,Taxi Driver,"No, and I’d remember.",Just a customer complaint.
Easy 1,Easy,Same as above,Q6,Have you ever been accused of theft before?,Tutor,"No, my reputation matters.",A silly rumor in college.
Easy 1,Easy,Same as above,Q7,Did you notice anything suspicious?,Lawyer,A man hurried away from the bench.,Everything seemed normal.
Easy 1,Easy,Same as above,Q7,Did you notice anything suspicious?,Delivery Man,A guy kept checking his pockets.,Nope. All good.
Easy 1,Easy,Same as above,Q7,Did you notice anything suspicious?,Doctor,A child crying near the fountain.,I wasn’t paying attention.
Easy 1,Easy,Same as above,Q7,Did you notice anything suspicious?,Bystander,A shady guy in sunglasses.,Not a thing.
Easy 1,Easy,Same as above,Q7,Did you notice anything suspicious?,Old Man,Someone dropped a wallet earlier.,My eyes aren’t what they used to be.
Easy 1,Easy,Same as above,Q7,Did you notice anything suspicious?,Bartender,A guy in a red cap lurking.,I mind my own business.
Easy 1,Easy,Same as above,Q7,Did you notice anything suspicious?,Electrician,A woman arguing on the phone.,"No, why?"
Easy 1,Easy,Same as above,Q7,Did you notice anything suspicious?,Taxi Driver,A jogger bumped into someone.,I was focused on driving.
Easy 1,Easy,Same as above,Q7,Did you notice anything suspicious?,Tutor,A student acting nervous.,I don’t get involved.
Easy 1,Easy,Same as above,Q8,What time did you leave the park?,Lawyer,"At 3:15 PM, after my call.",Around 3 PM... or maybe later.
Easy 1,Easy,Same as above,Q8,What time did you leave the park?,Delivery Man,2:50 PM—my delivery log shows it.,I didn’t check the time.
Easy 1,Easy,Same as above,Q8,What time did you leave the park?,Doctor,"3:30 PM, when my shift started.",Sometime after lunch.
Easy 1,Easy,Same as above,Q8,What time did you leave the park?,Bystander,"3:05 PM, when my friend left.",I wasn’t watching the clock.
Easy 1,Easy,Same as above,Q8,What time did you leave the park?,Old Man,I’m always here till 4 PM.,Whenever I felt like it.
Easy 1,Easy,Same as above,Q8,What time did you leave the park?,Bartender,Left at 2:45 PM for my shift.,I don’t remember exactly.
Easy 1,Easy,Same as above,Q8,What time did you leave the park?,Electrician,"3:20 PM, when my break ended.",Time flies in the park.
Easy 1,Easy,Same as above,Q8,What time did you leave the park?,Taxi Driver,3 PM sharp—my meter was running.,I wasn’t in a hurry.
Easy 1,Easy,Same as above,Q8,What time did you leave the park?,Tutor,"2:55 PM, after tutoring ended.",I lost track of time.
Easy 1,Easy,Same as above,Q9,Would you mind if we checked your bag?,Lawyer,Go ahead. Just legal documents.,I’d prefer a warrant.
Easy 1,Easy,Same as above,Q9,Would you mind if we checked your bag?,Delivery Man,Sure—only packages inside.,I left it in my truck.
Easy 1,Easy,Same as above,Q9,Would you mind if we checked your bag?,Doctor,It’s just medical supplies.,I don’t carry a bag.
Easy 1,Easy,Same as above,Q9,Would you mind if we checked your bag?,Bystander,No problem—just my phone and keys.,I don’t have it with me.
Easy 1,Easy,Same as above,Q9,Would you mind if we checked your bag?,Old Man,Check my satchel—just newspapers.,I don’t like people touching my things.
Easy 1,Easy,Same as above,Q9,Would you mind if we checked your bag?,Bartender,Here’s my work bag—knives and napkins.,I didn’t bring one today.
Easy 1,Easy,Same as above,Q9,Would you mind if we checked your bag?,Electrician,Tools only. Be careful.,I already emptied it.
Easy 1,Easy,Same as above,Q9,Would you mind if we checked your bag?,Taxi Driver,Glovebox is open. Help yourself.,My bag’s private.
Easy 1,Easy,Same as above,Q9,Would you mind if we checked your bag?,Tutor,Just books and graded papers.,I must’ve left it at home.
Easy 2,Easy,A café’s front window was smashed at 10:30 PM last night. The owner heard glass shatter but only saw a shadow fleeing. A crowbar was left at the scene.,Q1,Where were you around 10:30 PM last night?,Lawyer,At home reviewing case files.,I was... taking a walk. Alone.
Easy 2,Easy,Same as above,Q1,Where were you around 10:30 PM last night?,Delivery Man,Delivering a late-night order across town.,"I was near the café, but just passing by."
Easy 2,Easy,Same as above,Q1,Where were you around 10:30 PM last night?,Doctor,At the hospital working a night shift.,"I stopped by the café earlier, not at 10:30."
Easy 2,Easy,Same as above,Q1,Where were you around 10:30 PM last night?,Bystander,Watching a movie at my apartment.,I might’ve been near the café. It’s fuzzy.
Easy 2,Easy,Same as above,Q1,Where were you around 10:30 PM last night?,Old Man,"Asleep by 9 PM, like always.","I was out for fresh air. My insomnia, you see."
Easy 2,Easy,Same as above,Q1,Where were you around 10:30 PM last night?,Bartender,Closing up the bar—we shut at 10.,I left work early. No one saw me leave.
Easy 2,Easy,Same as above,Q1,Where were you around 10:30 PM last night?,Electrician,Fixing wiring at a client’s house.,"I was in the area, but not near the café."
Easy 2,Easy,Same as above,Q1,Where were you around 10:30 PM last night?,Taxi Driver,Driving my last fare of the night.,I parked near the café to take a break.
Easy 2,Easy,Same as above,Q1,Where were you around 10:30 PM last night?,Tutor,Grading papers at my desk.,"I was... uh, visiting a friend nearby."
Easy 2,Easy,Same as above,Q2,Do you have any injuries on your hands?,Lawyer,"No, I wear gloves when handling paperwork.",Just a paper cut. From earlier.
